STATE,PC,ST_CODE,PC_CODE,KEY,PC_NAME,ST_ABBR,ST_NAME,2014-Schedule,2014-Star-Candidate,2014-Star-Candidate-Name,Hindi-speaking,Bi-polar,Rural,SC,ST,Muslim,2009-pc-turnout,2009-Turnout,2009-Party,2009-Margin,2014-pc-turnout,2014-Turnout,2014-Nota
ASSAM,DIBRUGARH,S03,13,S03-13,DIBRUGARH,AS,ASSAM,07-Apr,,,Rest,Rest,Rural,< 10%,< 10%,,67.29%,60-70%,CONG,2-5%,72.56%,70-80%,1-2%
ASSAM,JORHAT,S03,12,S03-12,JORHAT,AS,ASSAM,07-Apr,,,Rest,Rest,Rural,< 10%,< 10%,10-20%,64.58%,60-70%,CONG,5-10%,75.68%,70-80%,1-2%
ASSAM,KALIABOR,S03,11,S03-11,KALIABOR,AS,ASSAM,07-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,20-40%,71.24%,70-80%,CONG,10-20%,75.94%,70-80%,1-2%
ASSAM,LAKHIMPUR,S03,14,S03-14,LAKHIMPUR,AS,ASSAM,07-Apr,,,Rest,Rest,Rural,< 10%,10-30%,< 10%,68.35%,60-70%,CONG,2-5%,72.76%,70-80%,1-2%
ASSAM,TEZPUR,S03,9,S03-9,TEZPUR,AS,ASSAM,07-Apr,,,Rest,Rest,Rural,< 10%,< 10%,< 10%,69.67%,60-70%,AGP,2-5%,74.60%,70-80%,1-2%
TRIPURA,TRIPURA WEST,S23,1,S23-1,TRIPURA WEST,TR,TRIPURA,07-Apr,,,Rest,Rest,Rural,< 10%,< 10%,< 10%,85.71%,80%+,CPM,20%+,85%,80%+,1-2%
ARUNACHAL PRADESH,ARUNACHAL EAST,S02,2,S02-2,ARUNACHAL EAST,AR,ARUNACHAL PRADESH,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,,71.36%,70-80%,CONG,20%+,No Information,,1-2%
ARUNACHAL PRADESH,ARUNACHAL WEST,S02,1,S02-1,ARUNACHAL WEST,AR,ARUNACHAL PRADESH,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,,65.93%,60-70%,CONG,< 2%,No Information,,0.5-1%
MANIPUR,OUTER MANIPUR,S14,2,S14-2,OUTER MANIPUR,MN,MANIPUR,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,,83.14%,80%+,CONG,10-20%,82.14%,80%+,< 0.5%
MEGHALAYA,SHILLONG,S15,1,S15-1,SHILLONG,ML,MEGHALAYA,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,,62.23%,60-70%,CONG,20%+,63.58%,60-70%,1-2%
MEGHALAYA,TURA,S15,2,S15-2,TURA,ML,MEGHALAYA,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,< 10%,67.66%,60-70%,NCP,5-10%,78.13%,70-80%,2-5%
NAGALAND,NAGALAND,S17,1,S17-1,NAGALAND,NL,NAGALAND,09-Apr,,,Rest,Rest,Rural,< 10%,50%+,,89.99%,80%+,NPF,20%+,88.57%,80%+,< 0.5%
A&N ISLANDS,A&N ISLANDS,U01,1,U01-1,ANDAMAN AND NICOBAR ISLANDS,AN,ANDAMAN AND NICOBAR ISLANDS,10-Apr,,,Rest,Rest,Rural,< 10%,10-30%,< 10%,64.16%,60-70%,BJP,< 2%,70.77%,70-80%,0.5-1%
BIHAR,AURANGABAD,S04,37,S04-37,AURANGABAD,BR,BIHAR,10-Apr,,,Hindi,Rest,Rural,20-30%,< 10%,< 10%,43.47%,< 50%,JDU,10-20%,50%,50-60%,2-5%
BIHAR,GAYA,S04,38,S04-38,GAYA,BR,BIHAR,10-Apr,,,Hindi,Rest,Rural,20-30%,< 10%,10-20%,42.45%,< 50%,BJP,10-20%,53.50%,50-60%,2-5%
BIHAR,JAMUI,S04,40,S04-40,JAMUI,BR,BIHAR,10-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,10-20%,38.13%,< 50%,JDU,5-10%,50%,50-60%,2-5%
BIHAR,KARAKAT,S04,35,S04-35,KARAKAT,BR,BIHAR,10-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,< 10%,41.61%,< 50%,JDU,2-5%,52%,50-60%,1-2%
BIHAR,NAWADA,S04,39,S04-39,NAWADA,BR,BIHAR,10-Apr,,,Hindi,Rest,Rural,20-30%,< 10%,10-20%,41.62%,< 50%,BJP,5-10%,51%,50-60%,0.5-1%
BIHAR,SASARAM,S04,34,S04-34,SASARAM,BR,BIHAR,10-Apr,,,Hindi,Rest,Rural,20-30%,< 10%,10-20%,42.70%,< 50%,CONG,5-10%,54%,50-60%,1-2%
CHANDIGARH,CHANDIGARH,U02,1,U02-1,CHANDIGARH,CH,CHANDIGARH,10-Apr,Star,"Gul Panag (AAP), Kirron Kher (BJP)",Rest,Rest,Urban,10-20%,< 10%,,65.51%,60-70%,CONG,10-20%,73.57%,70-80%,0.5-1%
CHHATTISGARH,BASTAR,S26,10,S26-10,BASTAR,CG,CHHATTISGARH,10-Apr,,,Hindi,Bi-polar,Rural,< 10%,50%+,< 10%,47.33%,< 50%,BJP,10-20%,52%,50-60%,> 5%
HARYANA,AMBALA,S07,1,S07-1,AMBALA,HR,HARYANA,10-Apr,,,Hindi,Rest,Semi Urban,20-30%,< 10%,< 10%,68.51%,60-70%,CONG,< 2%,70.60%,70-80%,0.5-1%
HARYANA,BHIWANI-MAHENDRAGARH,S07,8,S07-8,BHIWANI-MAHENDRAGARH,HR,HARYANA,10-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,< 10%,71.34%,70-80%,CONG,5-10%,69.10%,60-70%,< 0.5%
HARYANA,FARIDABAD,S07,10,S07-10,FARIDABAD,HR,HARYANA,10-Apr,,,Hindi,Rest,Semi Urban,10-20%,< 10%,20-40%,56.66%,50-60%,CONG,10-20%,61%,60-70%,< 0.5%
HARYANA,GURGAON,S07,9,S07-9,GURGAON,HR,HARYANA,10-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,,60.80%,60-70%,CONG,10-20%,70.20%,70-80%,< 0.5%
HARYANA,HISSAR,S07,4,S07-4,HISAR,HR,HARYANA,10-Apr,,,Hindi,Rest,Rural,20-30%,< 10%,,69.35%,60-70%,HJCBL,< 2%,75.90%,70-80%,< 0.5%
HARYANA,KARNAL,S07,5,S07-5,KARNAL,HR,HARYANA,10-Apr,,,Hindi,Rest,Semi Urban,10-20%,< 10%,,66.64%,60-70%,CONG,5-10%,70.20%,70-80%,< 0.5%
HARYANA,KURUKSHETRA,S07,2,S07-2,KURUKSHETRA,HR,HARYANA,10-Apr,,,Hindi,Rest,Rural,20-30%,< 10%,,75.04%,70-80%,CONG,10-20%,75%,70-80%,< 0.5%
HARYANA,ROHTAK,S07,7,S07-7,ROHTAK,HR,HARYANA,10-Apr,,,Hindi,Rest,Semi Urban,10-20%,< 10%,,65.56%,60-70%,CONG,20%+,67.30%,60-70%,< 0.5%
HARYANA,SIRSA,S07,3,S07-3,SIRSA,HR,HARYANA,10-Apr,,,Hindi,Rest,Rural,20-30%,< 10%,,74.93%,70-80%,CONG,2-5%,76%,70-80%,< 0.5%
HARYANA,SONEPAT,S07,6,S07-6,SONIPAT,HR,HARYANA,10-Apr,,,Hindi,Rest,Semi Urban,10-20%,< 10%,,64.75%,60-70%,CONG,20%+,68.40%,60-70%,< 0.5%
JAMMU & KASHMIR,JAMMU,S09,6,S09-6,JAMMU,JK,JAMMU & KASHMIR,10-Apr,,,Rest,Rest,Rural,10-20%,< 10%,20-40%,49.06%,< 50%,CONG,10-20%,66.29%,60-70%,< 0.5%
JHARKHAND,CHATRA,S27,4,S27-4,CHATRA,JH,JHARKHAND,10-Apr,,,Hindi,Rest,Rural,30%+,< 10%,10-20%,45.67%,< 50%,IND,2-5%,54%,50-60%,0.5-1%
JHARKHAND,KODARMA,S27,5,S27-5,KODARMA,JH,JHARKHAND,10-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,10-20%,56.14%,50-60%,JVM,5-10%,61%,60-70%,0.5-1%
JHARKHAND,LOHARDAGA,S27,12,S27-12,LOHARDAGA,JH,JHARKHAND,10-Apr,,,Hindi,Rest,Rural,< 10%,50%+,< 10%,53.42%,50-60%,BJP,< 2%,59%,50-60%,2-5%
JHARKHAND,PALAMU,S27,13,S27-13,PALAMAU,JH,JHARKHAND,10-Apr,,,Hindi,Rest,Rural,20-30%,10-30%,10-20%,45.97%,< 50%,JMM,2-5%,59%,50-60%,1-2%
KERALA,ALAPPUZHA,S11,15,S11-15,ALAPPUZHA,KL,KERALA,10-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,10-20%,79.15%,70-80%,CONG,5-10%,78.85%,70-80%,1-2%
KERALA,ALATHUR,S11,9,S11-9,ALATHUR,KL,KERALA,10-Apr,,,Rest,Rest,Rural,10-20%,< 10%,10-20%,75.27%,70-80%,CPM,2-5%,76.42%,70-80%,2-5%
KERALA,ATTINGAL,S11,19,S11-19,ATTINGAL,KL,KERALA,10-Apr,,,Rest,Rest,Rural,10-20%,< 10%,10-20%,66.25%,60-70%,CPM,2-5%,68.77%,60-70%,0.5-1%
KERALA,BADAGARA,S11,3,S11-3,VADAKARA,KL,KERALA,10-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,20-40%,80.55%,80%+,CONG,5-10%,81.40%,80%+,0.5-1%
KERALA,CHALAKUDY,S11,11,S11-11,CHALAKUDY,KL,KERALA,10-Apr,Star,Innocent (CPM),Rest,Rest,Semi Urban,10-20%,< 10%,10-20%,73.72%,70-80%,CONG,5-10%,76.94%,70-80%,1-2%
KERALA,ERNAKULAM,S11,12,S11-12,ERNAKULAM,KL,KERALA,10-Apr,,,Rest,Rest,Urban,< 10%,< 10%,10-20%,72.81%,70-80%,CONG,< 2%,73.56%,70-80%,1-2%
KERALA,IDUKKI,S11,13,S11-13,IDUKKI,KL,KERALA,10-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,73.95%,70-80%,CONG,5-10%,70.68%,70-80%,1-2%
KERALA,KANNUR,S11,2,S11-2,KANNUR,KL,KERALA,10-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,20-40%,80.83%,80%+,CONG,2-5%,80.90%,80%+,0.5-1%
KERALA,KASARAGOD,S11,1,S11-1,KASARAGOD,KL,KERALA,10-Apr,,,Rest,Rest,Rural,< 10%,< 10%,20-40%,76.11%,70-80%,CPM,5-10%,78%,70-80%,0.5-1%
KERALA,KOLLAM,S11,18,S11-18,KOLLAM,KL,KERALA,10-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,10-20%,67.85%,60-70%,CONG,2-5%,72.08%,70-80%,0.5-1%
KERALA,KOTTAYAM,S11,14,S11-14,KOTTAYAM,KL,KERALA,10-Apr,,,Rest,Rest,Rural,< 10%,< 10%,< 10%,73.76%,70-80%,KECM,5-10%,71.70%,70-80%,1-2%
KERALA,KOZHIKODE,S11,5,S11-5,KOZHIKODE,KL,KERALA,10-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,40%+,75.68%,70-80%,CONG,< 2%,79.80%,70-80%,0.5-1%
KERALA,MALAPPURAM,S11,6,S11-6,MALAPPURAM,KL,KERALA,10-Apr,,,Rest,Rest,Rural,< 10%,< 10%,40%+,76.81%,70-80%,IUML,10-20%,71.27%,70-80%,2-5%
KERALA,MAVELIKARA,S11,16,S11-16,MAVELIKKARA,KL,KERALA,10-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,70.34%,70-80%,CONG,5-10%,71.35%,70-80%,1-2%
KERALA,PALAKKAD,S11,8,S11-8,PALAKKAD,KL,KERALA,10-Apr,,,Rest,Rest,Rural,10-20%,< 10%,20-40%,73.47%,70-80%,CPM,< 2%,75.39%,70-80%,1-2%
KERALA,PATHANAMTHITTA,S11,17,S11-17,PATHANAMTHITTA,KL,KERALA,10-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,65.70%,60-70%,CONG,10-20%,66.01%,60-70%,1-2%
KERALA,PONNANI,S11,7,S11-7,PONNANI,KL,KERALA,10-Apr,,,Rest,Rest,Rural,< 10%,< 10%,40%+,77.17%,70-80%,IUML,10-20%,73.83%,70-80%,0.5-1%
KERALA,THIRUVANANTHAPURAM,S11,20,S11-20,THIRUVANANTHAPURAM,KL,KERALA,10-Apr,,,Rest,Rest,Semi Urban,< 10%,< 10%,10-20%,65.74%,60-70%,CONG,10-20%,74.02%,70-80%,< 0.5%
KERALA,THRISSUR,S11,10,S11-10,THRISSUR,KL,KERALA,10-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,10-20%,69.48%,60-70%,CONG,2-5%,72.15%,70-80%,1-2%
KERALA,WAYANAD,S11,4,S11-4,WAYANAD,KL,KERALA,10-Apr,,,Rest,Rest,Rural,< 10%,< 10%,40%+,74.74%,70-80%,CONG,10-20%,73.25%,70-80%,1-2%
LAKSHADWEEP,LAKSHADWEEP,U06,1,U06-1,LAKSHADWEEP,LD,LAKSHADWEEP,10-Apr,,,Rest,Rest,Semi Urban,< 10%,50%+,40%+,85.90%,80%+,CONG,5-10%,86.79%,80%+,< 0.5%
MADHYA PRADESH,BALAGHAT,S12,15,S12-15,BALAGHAT,MP,MADHYA PRADESH,10-Apr,,,Hindi,Bi-polar,Rural,< 10%,10-30%,< 10%,56.49%,50-60%,BJP,5-10%,68.10%,60-70%,0.5-1%
MADHYA PRADESH,CHHINDWARA,S12,16,S12-16,CHHINDWARA,MP,MADHYA PRADESH,10-Apr,,,Hindi,Bi-polar,Rural,10-20%,30-50%,< 10%,71.86%,70-80%,CONG,10-20%,79.05%,70-80%,2-5%
MADHYA PRADESH,HOSHANGABAD,S12,17,S12-17,HOSHANGABAD,MP,MADHYA PRADESH,10-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,54.82%,50-60%,CONG,2-5%,65.76%,60-70%,1-2%
MADHYA PRADESH,JABALPUR,S12,13,S12-13,JABALPUR,MP,MADHYA PRADESH,10-Apr,,,Hindi,Bi-polar,Semi Urban,10-20%,10-30%,< 10%,43.80%,< 50%,BJP,10-20%,58.53%,50-60%,0.5-1%
MADHYA PRADESH,MANDLA,S12,14,S12-14,MANDLA,MP,MADHYA PRADESH,10-Apr,,,Hindi,Bi-polar,Rural,< 10%,50%+,< 10%,56.25%,50-60%,CONG,5-10%,66.68%,60-70%,2-5%
MADHYA PRADESH,REWA,S12,10,S12-10,REWA,MP,MADHYA PRADESH,10-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,48.34%,< 50%,BSP,< 2%,56.07%,50-60%,1-2%
MADHYA PRADESH,SATNA,S12,9,S12-9,SATNA,MP,MADHYA PRADESH,10-Apr,,,Hindi,Bi-polar,Rural,10-20%,10-30%,< 10%,54.63%,50-60%,BJP,< 2%,62.68%,60-70%,1-2%
MADHYA PRADESH,SHAHDOL,S12,12,S12-12,SHAHDOL,MP,MADHYA PRADESH,10-Apr,,,Hindi,Bi-polar,Rural,< 10%,30-50%,< 10%,49.50%,< 50%,CONG,2-5%,62.20%,60-70%,2-5%
MADHYA PRADESH,SIDHI,S12,11,S12-11,SIDHI,MP,MADHYA PRADESH,10-Apr,,,Hindi,Bi-polar,Rural,10-20%,30-50%,< 10%,49.75%,< 50%,BJP,5-10%,62.43%,60-70%,1-2%
MAHARASHTRA,AKOLA,S13,6,S13-6,AKOLA,MH,MAHARASHTRA,10-Apr,,,Rest,Rest,Semi Urban,10-20%,< 10%,10-20%,49.91%,< 50%,BJP,5-10%,65%,60-70%,0.5-1%
MAHARASHTRA,AMRAVATI,S13,7,S13-7,AMRAVATI,MH,MAHARASHTRA,10-Apr,,,Rest,Rest,Semi Urban,10-20%,10-30%,10-20%,51.45%,50-60%,SS,5-10%,65%,60-70%,< 0.5%
MAHARASHTRA,BHANDARA - GONDIYA,S13,11,S13-11,BHANDARA-GONDIYA,MH,MAHARASHTRA,10-Apr,,,Rest,Rest,Rural,10-20%,10-30%,< 10%,71.11%,70-80%,NCP,20%+,65%,60-70%,< 0.5%
MAHARASHTRA,BULDHANA,S13,5,S13-5,BULDHANA,MH,MAHARASHTRA,10-Apr,,,Rest,Rest,Rural,10-20%,< 10%,< 10%,61.72%,60-70%,SS,2-5%,58.60%,50-60%,1-2%
MAHARASHTRA,CHANDRAPUR,S13,13,S13-13,CHANDRAPUR,MH,MAHARASHTRA,10-Apr,,,Rest,Rest,Semi Urban,10-20%,10-30%,< 10%,58.48%,50-60%,BJP,2-5%,63%,60-70%,0.5-1%
MAHARASHTRA,GADCHIROLI-CHIMUR,S13,12,S13-12,GADCHIROLI-CHIMUR,MH,MAHARASHTRA,10-Apr,,,Rest,Rest,Rural,10-20%,30-50%,< 10%,65.14%,60-70%,CONG,2-5%,65%,60-70%,2-5%
MAHARASHTRA,NAGPUR,S13,10,S13-10,NAGPUR,MH,MAHARASHTRA,10-Apr,,,Rest,Rest,Urban,10-20%,< 10%,10-20%,43.44%,< 50%,CONG,2-5%,59%,50-60%,< 0.5%
MAHARASHTRA,RAMTEK,S13,9,S13-9,RAMTEK,MH,MAHARASHTRA,10-Apr,,,Rest,Rest,Semi Urban,10-20%,10-30%,< 10%,50.88%,50-60%,CONG,2-5%,62%,60-70%,< 0.5%
MAHARASHTRA,WARDHA,S13,8,S13-8,WARDHA,MH,MAHARASHTRA,10-Apr,,,Rest,Rest,Rural,10-20%,10-30%,< 10%,54.60%,50-60%,CONG,10-20%,61%,60-70%,< 0.5%
MAHARASHTRA,YAVATMAL-WASHIM,S13,14,S13-14,YAVATMAL-WASHIM,MH,MAHARASHTRA,10-Apr,,,Rest,Rest,Rural,10-20%,10-30%,10-20%,54.06%,50-60%,SS,5-10%,60%,60-70%,0.5-1%
NCT OF DELHI,CHANDNI CHOWK,U05,1,U05-1,CHANDNI CHOWK,DL,NCT OF DELHI,10-Apr,,,Hindi,Rest,Urban,10-20%,< 10%,20-40%,55.21%,50-60%,CONG,20%+,67.54%,60-70%,< 0.5%
NCT OF DELHI,EAST DELHI,U05,3,U05-3,EAST DELHI,DL,NCT OF DELHI,10-Apr,,,Hindi,Rest,Urban,10-20%,< 10%,,53.43%,50-60%,CONG,20%+,65.35%,60-70%,< 0.5%
NCT OF DELHI,NEW DELHI,U05,4,U05-4,NEW DELHI,DL,NCT OF DELHI,10-Apr,Star,Biswajit (TMC),Hindi,Rest,Urban,10-20%,< 10%,,55.71%,50-60%,CONG,20%+,65%,60-70%,0.5-1%
NCT OF DELHI,NORTH EAST DELHI,U05,2,U05-2,NORTH EAST DELHI,DL,NCT OF DELHI,10-Apr,Star,Manoj Tiwari (BJP),Hindi,Rest,Urban,10-20%,< 10%,20-40%,52.38%,50-60%,CONG,20%+,67.12%,60-70%,< 0.5%
NCT OF DELHI,NORTH WEST DELHI,U05,5,U05-5,NORTH WEST DELHI,DL,NCT OF DELHI,10-Apr,,,Hindi,Rest,Urban,20-30%,< 10%,,47.69%,< 50%,CONG,20%+,61.66%,60-70%,0.5-1%
NCT OF DELHI,SOUTH DELHI,U05,7,U05-7,SOUTH DELHI,DL,NCT OF DELHI,10-Apr,,,Hindi,Rest,Urban,10-20%,< 10%,,47.41%,< 50%,CONG,10-20%,62.98%,60-70%,< 0.5%
NCT OF DELHI,WEST DELHI,U05,6,U05-6,WEST DELHI,DL,NCT OF DELHI,10-Apr,,,Hindi,Rest,Urban,20-30%,< 10%,,52.39%,50-60%,CONG,10-20%,66.03%,60-70%,0.5-1%
ORISSA,ASKA,S18,19,S18-19,ASKA,OD,ORISSA,10-Apr,,,Rest,Rest,Rural,10-20%,< 10%,,54.57%,50-60%,BJD,20%+,No Information,,1-2%
ORISSA,BARGARH,S18,1,S18-1,BARGARH,OD,ORISSA,10-Apr,,,Rest,Rest,Rural,10-20%,10-30%,,69.65%,60-70%,CONG,10-20%,72%,70-80%,1-2%
ORISSA,BERHAMPORE,S18,20,S18-20,BERHAMPUR,OD,ORISSA,10-Apr,,,Rest,Rest,Rural,10-20%,10-30%,,58.92%,50-60%,BJD,5-10%,No Information,,1-2%
ORISSA,BOLANGIR,S18,10,S18-10,BOLANGIR,OD,ORISSA,10-Apr,,,Rest,Rest,Rural,10-20%,10-30%,,70.11%,70-80%,BJD,5-10%,73%,70-80%,1-2%
ORISSA,KALAHANDI,S18,11,S18-11,KALAHANDI,OD,ORISSA,10-Apr,,,Rest,Rest,Rural,10-20%,30-50%,,68.85%,60-70%,CONG,10-20%,74%,70-80%,1-2%
ORISSA,KANDHAMAL,S18,13,S18-13,KANDHAMAL,OD,ORISSA,10-Apr,,,Rest,Rest,Rural,10-20%,10-30%,,66.44%,60-70%,BJD,20%+,73.15%,70-80%,1-2%
ORISSA,KORAPUT,S18,21,S18-21,KORAPUT,OD,ORISSA,10-Apr,,,Rest,Rest,Rural,10-20%,50%+,,62.64%,60-70%,BJD,10-20%,76.20%,70-80%,2-5%
ORISSA,NABARANGPUR,S18,12,S18-12,NABARANGPUR,OD,ORISSA,10-Apr,,,Rest,Rest,Rural,10-20%,50%+,,65.14%,60-70%,CONG,2-5%,82%,80%+,2-5%
ORISSA,SAMBALPUR,S18,3,S18-3,SAMBALPUR,OD,ORISSA,10-Apr,,,Rest,Rest,Rural,10-20%,10-30%,,64.90%,60-70%,CONG,< 2%,74.06%,70-80%,1-2%
ORISSA,SUNDARGARH,S18,2,S18-2,SUNDARGARH,OD,ORISSA,10-Apr,Star,Dilip Tirkey (BJD),Rest,Rest,Semi Urban,< 10%,50%+,< 10%,61.43%,60-70%,CONG,< 2%,70.50%,70-80%,1-2%
UTTAR PRADESH,ALIGARH,S24,15,S24-15,ALIGARH,UP,UTTAR PRADESH,10-Apr,,,Hindi,Rest,Semi Urban,20-30%,< 10%,20-40%,51.48%,50-60%,BSP,2-5%,60.04%,60-70%,0.5-1%
UTTAR PRADESH,BAGHPAT,S24,11,S24-11,BAGHPAT,UP,UTTAR PRADESH,10-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,20-40%,47.93%,< 50%,RLD,10-20%,65.60%,60-70%,< 0.5%
UTTAR PRADESH,BIJNOR,S24,4,S24-4,BIJNOR,UP,UTTAR PRADESH,10-Apr,Star,Jaya Prada (RLD),Hindi,Rest,Rural,10-20%,< 10%,10-20%,55.01%,50-60%,RLD,2-5%,65.38%,60-70%,0.5-1%
UTTAR PRADESH,BULANDSHAHR,S24,14,S24-14,BULANDSHAHR,UP,UTTAR PRADESH,10-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,20-40%,45.08%,< 50%,SP,5-10%,61.60%,60-70%,0.5-1%
UTTAR PRADESH,GAUTAM BUDDH NAGAR,S24,13,S24-13,GAUTAM BUDDHA NAGAR,UP,UTTAR PRADESH,10-Apr,,,Hindi,Rest,Semi Urban,10-20%,< 10%,20-40%,48.54%,< 50%,BSP,2-5%,58.83%,50-60%,< 0.5%
UTTAR PRADESH,GHAZIABAD,S24,12,S24-12,GHAZIABAD,UP,UTTAR PRADESH,10-Apr,Star,Raj Babbar (Cong),Hindi,Rest,Semi Urban,10-20%,< 10%,10-20%,45.30%,< 50%,BJP,10-20%,60.20%,60-70%,< 0.5%
UTTAR PRADESH,KAIRANA,S24,2,S24-2,KAIRANA,UP,UTTAR PRADESH,10-Apr,,,Hindi,Rest,Rural,10-20%,< 10%,20-40%,56.59%,50-60%,BSP,2-5%,70.85%,70-80%,< 0.5%
UTTAR PRADESH,MEERUT,S24,10,S24-10,MEERUT,UP,UTTAR PRADESH,10-Apr,Star,Nagma (Cong),Hindi,Rest,Semi Urban,10-20%,< 10%,20-40%,48.23%,< 50%,BJP,5-10%,62.68%,60-70%,< 0.5%
UTTAR PRADESH,MUZAFFARNAGAR,S24,3,S24-3,MUZAFFARNAGAR,UP,UTTAR PRADESH,10-Apr,,,Hindi,Rest,Semi Urban,10-20%,< 10%,20-40%,54.44%,50-60%,BSP,2-5%,62.68%,60-70%,< 0.5%
UTTAR PRADESH,SAHARANPUR,S24,1,S24-1,SAHARANPUR,UP,UTTAR PRADESH,10-Apr,,,Hindi,Rest,Semi Urban,20-30%,< 10%,20-40%,63.25%,60-70%,BSP,10-20%,70.64%,70-80%,0.5-1%
MIZORAM,MIZORAM,S16,1,S16-1,MIZORAM,MZ,MIZORAM,11-Apr,,,Rest,Rest,Semi Urban,< 10%,50%+,,51.80%,50-60%,CONG,20%+,61.70%,60-70%,1-2%
ASSAM,AUTONOMOUS DISTS,S03,3,S03-3,AUTONOMOUS DISTRICT,AS,ASSAM,12-Apr,,,Rest,Rest,Rural,< 10%,50%+,,69.40%,60-70%,CONG,10-20%,73%,70-80%,2-5%
ASSAM,KARIMGANJ,S03,1,S03-1,KARIMGANJ,AS,ASSAM,12-Apr,,,Rest,Rest,Rural,10-20%,< 10%,40%+,64.13%,60-70%,CONG,< 2%,75%,70-80%,< 0.5%
ASSAM,SILCHAR,S03,2,S03-2,SILCHAR,AS,ASSAM,12-Apr,,,Rest,Rest,Rural,10-20%,< 10%,20-40%,70.37%,70-80%,BJP,5-10%,76%,70-80%,0.5-1%
GOA,NORTH GOA,S05,1,S05-1,NORTH GOA,GA,GOA,12-Apr,,,Rest,Rest,Rural,< 10%,< 10%,< 10%,60.02%,60-70%,BJP,2-5%,77%,70-80%,1-2%
GOA,SOUTH GOA,S05,2,S05-2,SOUTH GOA,GA,GOA,12-Apr,,,Rest,Rest,Rural,< 10%,< 10%,< 10%,50.95%,50-60%,CONG,2-5%,75%,70-80%,1-2%
